video_id,title,channel_id,channel_title,view_count,published_at,subscriber_count,reaction_score
xLPwShqhL_I,1년차 개발자 vs 5년차 개발자 #똑같다 #개발자 #코딩 #앱개발 #개발자유머 #코딩유머 #개발밈 #프로그래머,UCz0XoGxr6WIdMC-wyI32wjw,해리코딩asmr,1092959,2022-02-23T05:07:23Z,3300,331.2
9MVg2S-4o-E,흔한 개발확인시험 에피소드 #개발자 #밤샘개발 #IT에피소드 #픽사스타일 #유튜브쇼츠 #공감영상,UCTOnol8p5GspaRFbw3YvOgw,개발자의 하루는 언제나 맑음?,265,2025-05-22T11:39:14Z,1,265.0
VHtM1HbVHTE,💻🔥”공룡책 모르면 개발자 취업 못한다고?“ #운영체제 #컴퓨터공학 #개발자 #개발자취업 #스피노사우루스,UCRPz9u4tso5RIXnex8Tg4Iw,동대문 카리나,168100,2025-03-05T16:23:12Z,957,175.65
Mqh3S9bD2m4,개발자가 연봉 1억 넘기는 방법,UCUI_wX3M1FF7g9upG7XegHw,아따 재미난거,671570,2024-11-20T09:00:31Z,7560,88.83
HOLp0Wdn3OA,현재 개발자 취업이 지옥인 이유 #개발자 #ai #인공지능 #취업 #경제 #불황,UCdSryz0Okc3KjBEAkcHg8Kg,잼아재,68588,2024-08-16T17:37:59Z,783,87.6
76UlRRdOkUU,개발자가 하는일,UCQpPZR8FJy7DNeuEHK-Kuuw,개발자 망고,32185,2023-10-20T13:49:08Z,434,74.16
wLiGGawTlN8,#aistudio #ai개발 #코딩 #코딩학원 #코딩교육 #개발교육 #IT과외 #IT교육 #개발자교육 #ai활용교육 #ai학습코칭 #it학원 #daviditschool,UC88Cr4rY0S1BhiExHafOdkg,David IT School | 실전 코딩 & 진로 교육,280,2025-05-26T07:10:51Z,5,56.0
ZyO9diLlvfY,현재 매일 해고된다는 개발자들 근황,UC9C_NxqqwbZEaviBhChwMXg,뉴욕 건물주 - New York Building Owner,3978389,2025-05-17T01:32:32Z,71700,55.49
pTxKTmWmhQs,💻소프트웨어 생명 주기? 개발 과정 한눈에 정리! | 오늘의 IT 한입 #shorts #정보처리기사 #it상식 #it기초 #소프트웨어설계 #cs기초 #개발자상식 #it공부,UCs5xzgznwrHbYtuZaG4EQgg,오늘의 IT한입,3440,2025-05-16T03:44:36Z,80,43.0
CzKTVQLwDY4,💻나선형 모델? 반복하면서 리스크 줄이는 개발 방식! | 오늘의 IT 한입 #shorts #정보처리기사 #it상식 #개발자기초 #cs기초 #개발자상식 #it공부 #소프트웨어설계,UCs5xzgznwrHbYtuZaG4EQgg,오늘의 IT한입,2769,2025-05-19T16:26:28Z,80,34.61
ufEA7w-kiMw,"개발자 연봉 2800, 진짜일까...  #개발자",UC2dlpQ01mUbwh63zI98P_iw,코딩새댁,20762,2024-10-30T00:00:40Z,767,27.07
7R8u0PtC7IU,개발자 한물 갔다?! (개발자 전망에 대한) 서울대 교수의 소신 발언,UCIGciESvBCUvbC10vJkuD6w,서울대 한교수의 코딩,95195,2024-12-31T03:07:40Z,4080,23.33
0poey19dA0c,🤣개발자에게 HTML이란? | 코딩극장 (#코딩 #개발 #웃긴영상 #html),UChAMXoqGrU_BRiHYCTIlAjg,코딩밸리,48501,2024-02-20T09:21:49Z,2380,20.38
qMu05OFnhrI,"개발자 종류 총 정리, 2024년 최신 트렌드",UCt8DSzvt6Nuq92RWk7eeMfw,스파르타 연구소,315751,2023-12-28T08:30:10Z,17000,18.57
qKa1QbPxmmw,신입 개발자 하려는 사람에게 보여줄 영상,UCKa3iUq4Sfcd0iKI0wkNsNg,코딩국수,371644,2023-10-06T05:00:32Z,24300,15.29
wcM8L2sWkdg,2024년 개발자 취업 하반기 입사 지원만 200~300명 | 2025년 개발자 전망은?,UCLuYr8SKt55JAxAgBO5Tguw,코딩웨일🐳(자신),139243,2024-09-29T18:34:36Z,9370,14.86
K7xCq-kitsg,AI 기술의 발전과 IT 개발의 새로운 변화,UCcxiBIbst5pHu7_KaIzYqRw,유린이 성공 스토리,59,2024-03-12T14:00:57Z,4,14.75
GsKzxs8wdOs,기업 코테 (코딩 테스트) 봤다가 그냥 혼난 썰..ㅜ,UCyvH6iDqDFUKWSUl03X3duA,취업테크 솔로몬,25028,2024-12-30T09:45:00Z,1790,13.98
P0klZnu471A,"프론트엔드, 백엔드, API 개념 세상 간단하게 요약 #프론트엔드 #백엔드 #API #프로그래밍 #개발 #개발자 #개발자취업 #구디아카데미",UC5GjXUttgVRW28gjyHMNMSg,구디아카데미,8328,2022-12-12T06:33:11Z,603,13.81
BFz4lW6vRS8,초보개발자 vs 고수개발자 #shorts,UCmmqTjgHtMCCgH7Vok_NpZg,코딩독학 Codok,749113,2022-10-14T15:26:54Z,55300,13.55
